Date	Route	Rating	Notes	URL	Pitches	Location	Avg Stars	Your Stars	Style	Lead Style	Route Type	Your Rating
2017-07-04	Freeway	5.0 2- 4 I 6 MM 1c		https://www.mountainproject.com/v/freeway/105752023	6	Colorado : Boulder : Flatirons : North : Second Flatiron	3.1	-1	Solo		Trad	
2017-07-04	Pine Tree Route	5.5 4b 13 IV+ 11 MS 4a		https://www.mountainproject.com/v/pine-tree-route/105756574	1	Colorado : Boulder : Boulder Canyon : Elephant Buttresses : Second Buttress	1.9	-1			Trad, TR	
2017-07-02	Holiday Road	5.8 5b 16 VI- 15 HVS 4c		https://www.mountainproject.com/v/holiday-road/106505012	1	Colorado : Golden : Clear Creek Canyon : The Canal Zone	2.1	-1	Lead	Onsight	Sport	
2017-07-02	Swanson Arete	5.5 4b 13 IV+ 11 MS 4a	Led pitches 1 and 3	https://www.mountainproject.com/v/swanson-arete/105748651	3	Colorado : Boulder : Eldorado Canyon SP : Redgarden Wall : Redgarden - Lumpe to the to...	3.1	-1	Lead	Onsight	Trad	
2017-07-02	Batso Canal	5.10b/c 6b 20 VII 20 E2 5b		https://www.mountainproject.com/v/batso-canal/106220088	1	Colorado : Golden : Clear Creek Canyon : The Canal Zone	2.7	-1			Sport	
2017-07-02	Panama Red	5.10- 6a 18 VI+ 18 E1 5a		https://www.mountainproject.com/v/panama-red/106210200	1	Colorado : Golden : Clear Creek Canyon : The Canal Zone	2.6	-1	Lead	Onsight	Sport	
2017-07-02	Gondolier Arete	5.10a 6a 18 VI+ 18 E1 5a		https://www.mountainproject.com/v/gondolier-arete/106210217	1	Colorado : Golden : Clear Creek Canyon : The Canal Zone	2.3	-1	Lead	Onsight	Sport	
2017-07-02	Beasto	5.10- 6a 18 VI+ 18 E1 5a		https://www.mountainproject.com/v/beasto/106243288	1	Colorado : Golden : Clear Creek Canyon : The Canal Zone	2.4	-1	Lead		Sport	
2017-07-02	Skimbleshanks	5.8- 5b 16 VI- 14 VS 4c		https://www.mountainproject.com/v/skimbleshanks/105749530	1	Colorado : Golden : Clear Creek Canyon : The Catslab	2.9	-1	Lead	Onsight	Sport	
2017-06-30	Breezy	5.5 4b 13 IV+ 11 MS 4a	Led 1st pitch 	https://www.mountainproject.com/v/breezy/105750472	2	Colorado : Boulder : Eldorado Canyon SP : The Wind Tower : Wind Tower - SW Face	2.4	-1	Lead	Onsight	Trad	
2017-06-16	Dennis	5.5 4b 13 IV+ 11 MS 4a		https://www.mountainproject.com/v/dennis/105968655	2	New York : The Gunks : The Trapps : b. Jackie and friends	2.4	-1	Lead	Onsight	Trad	
2017-06-16	Three Pines	5.3 3+ 10 III 9 VD 3a	Followed pitches 2 and 3	https://www.mountainproject.com/v/three-pines/105799108	3	New York : The Gunks : The Trapps : e. The Mac Wall (Something ...	3.0	-1	Lead	Onsight	Trad	
2017-06-16	Yale	5.3 3+ 10 III 9 VD 3a		https://www.mountainproject.com/v/yale/109149831	1	New York : The Gunks : The Trapps : a2. The Uberfall - right	1.6	-1	Lead	Onsight	Trad	
2017-06-16	Betty	5.3 3+ 10 III 9 VD 3a		https://www.mountainproject.com/v/betty/105920873	2	New York : The Gunks : The Trapps : b. Jackie and friends	2.7	-1	Follow		Trad	
2017-06-02	Easy Overhang	5.2 3 8 II 8 D 2c		https://www.mountainproject.com/v/easy-overhang/106034654	2	New York : The Gunks : The Trapps : c. Frog's Head - the Arch	2.8	-1	Lead	Onsight	Trad	
2017-05-21	Dirty Swing	5.7 5a 15 V+ 13 MVS 4b	Sent, fun climb 	https://www.mountainproject.com/v/dirty-swing/106381405	1	Pennsylvania : Southeastern Lowlands : Birdsboro Quarry : Orange Sunshine Wall	1.6	-1			Sport	
2017-04-23	Easy Overhang	5.2 3 8 II 8 D 2c	Led the second pitch, lots of fun 	https://www.mountainproject.com/v/easy-overhang/106034654	1	New York : The Gunks : The Trapps : c. Frog's Head - the Arch	2.8	-1			Trad	
2017-04-23	Betty	5.3 3+ 10 III 9 VD 3a	Led, really fun 	https://www.mountainproject.com/v/betty/105920873	1	New York : The Gunks : The Trapps : b. Jackie and friends	2.7	-1			Trad	
